FILENAME,0dB,-5dB,Demucs
1_162_plus_2-32515-B-4_0dB.wav,0.6301,0.5416,0.5481
1_187_plus_4-99644-B-4_0dB.wav,0.3156,0.3190,0.5586
1_230_plus_4-99644-A-4_0dB.wav,0.4197,0.3929,0.2716
1_240_plus_4-99644-C-4_0dB.wav,0.5525,0.4768,0.3326
1_249_plus_3-70962-A-4_0dB.wav,0.4139,0.3856,0.4467
1_277_plus_2-52789-A-4_0dB.wav,0.9188,0.8947,0.5883
1_36_plus_1-18757-A-4_0dB.wav,0.5150,0.4898,0.5745
1_425_plus_5-189795-A-4_0dB.wav,0.6630,0.5809,0.1526
1_481_plus_4-99193-A-4_0dB.wav,0.5757,0.4815,0.3939
1_488_plus_5-187201-A-4_0dB.wav,0.6286,0.6284,0.5304
