FILENAME,0dB,-5dB,Wiener
1_108_plus_2-39945-B-19_-5dB.wav,0.8102,0.7498,0.6638
1_148_plus_5-188495-A-19_-5dB.wav,0.8163,0.7356,0.6738
1_183_plus_2-39945-A-19_-5dB.wav,0.8413,0.7410,0.5932
1_199_plus_1-24524-A-19_-5dB.wav,0.8348,0.7967,0.7742
1_339_plus_3-103051-A-19_-5dB.wav,0.8204,0.7066,0.5559
1_33_plus_5-195557-A-19_-5dB.wav,0.7385,0.5793,0.5123
1_36_plus_3-144891-A-19_-5dB.wav,0.8700,0.8113,0.8499
1_47_plus_1-101296-A-19_-5dB.wav,0.4858,0.4006,0.3637
1_51_plus_1-24524-B-19_-5dB.wav,0.7525,0.6738,0.6188
1_6_plus_4-125070-A-19_-5dB.wav,0.6204,0.5228,0.4350
