filename,category,snr_level,method,processing_time_ms
1_103_plus_4-218304-A-25_-5dB.wav,footsteps,-5dB,Wavelet,2659.53
1_173_plus_2-209473-A-25_-5dB.wav,footsteps,-5dB,Wavelet,3.51
1_205_plus_3-249913-A-25_-5dB.wav,footsteps,-5dB,Wavelet,4.51
1_212_plus_5-51149-A-25_-5dB.wav,footsteps,-5dB,Wavelet,3.0
1_354_plus_1-223162-A-25_-5dB.wav,footsteps,-5dB,Wavelet,2.51
1_37_plus_3-103597-A-25_-5dB.wav,footsteps,-5dB,Wavelet,2.92
1_400_plus_4-198962-A-25_-5dB.wav,footsteps,-5dB,Wavelet,2.5
1_476_plus_4-198962-B-25_-5dB.wav,footsteps,-5dB,Wavelet,3.5
1_47_plus_5-234263-A-25_-5dB.wav,footsteps,-5dB,Wavelet,2.89
1_98_plus_1-155858-E-25_-5dB.wav,footsteps,-5dB,Wavelet,2.24
