filename,category,snr_level,method,processing_time_ms
1_103_plus_4-218304-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,24.76
1_173_plus_2-209473-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,27.07
1_205_plus_3-249913-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,19.04
1_212_plus_5-51149-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,24.54
1_354_plus_1-223162-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,25.0
1_37_plus_3-103597-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,21.53
1_400_plus_4-198962-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,25.74
1_476_plus_4-198962-B-25_-5dB.wav,footsteps,-5dB,Spectral Gating,21.28
1_47_plus_5-234263-A-25_-5dB.wav,footsteps,-5dB,Spectral Gating,26.02
1_98_plus_1-155858-E-25_-5dB.wav,footsteps,-5dB,Spectral Gating,28.07
