FILENAME,0dB,-5dB,Demucs
1_106_plus_2-125875-A-13_-5dB.wav,0.3316,0.2760,0.7087
1_149_plus_2-80844-A-13_-5dB.wav,0.6218,0.6287,0.6071
1_16_plus_3-129338-A-13_-5dB.wav,0.5194,0.4585,0.5535
1_271_plus_3-134802-A-13_-5dB.wav,0.2893,0.2672,0.3533
1_286_plus_3-155766-A-13_-5dB.wav,0.7823,0.7309,0.5205
1_298_plus_1-59102-A-13_-5dB.wav,0.7965,0.7362,0.5572
1_366_plus_2-96033-A-13_-5dB.wav,0.5633,0.4815,0.4331
1_394_plus_1-7456-A-13_-5dB.wav,0.6307,0.5207,0.4011
1_455_plus_3-163607-A-13_-5dB.wav,0.8697,0.8180,0.4742
1_97_plus_5-210540-A-13_-5dB.wav,0.6810,0.6394,0.5639
