filename,category,snr_level,method,processing_time_ms
1_162_plus_2-32515-B-4_-5dB.wav,frog,-5dB,Wavelet,2375.86
1_187_plus_4-99644-B-4_-5dB.wav,frog,-5dB,Wavelet,3.01
1_230_plus_4-99644-A-4_-5dB.wav,frog,-5dB,Wavelet,3.02
1_240_plus_4-99644-C-4_-5dB.wav,frog,-5dB,Wavelet,3.11
1_249_plus_3-70962-A-4_-5dB.wav,frog,-5dB,Wavelet,2.5
1_277_plus_2-52789-A-4_-5dB.wav,frog,-5dB,Wavelet,2.0
1_36_plus_1-18757-A-4_-5dB.wav,frog,-5dB,Wavelet,3.01
1_425_plus_5-189795-A-4_-5dB.wav,frog,-5dB,Wavelet,3.0
1_481_plus_4-99193-A-4_-5dB.wav,frog,-5dB,Wavelet,2.5
1_488_plus_5-187201-A-4_-5dB.wav,frog,-5dB,Wavelet,2.5
