FILENAME,0dB,-5dB,Spectral
1_100_plus_4-102844-A-49_-5dB.wav,0.3974,0.2393,0.2199
1_143_plus_2-60180-B-49_-5dB.wav,0.6656,0.5212,0.6036
1_157_plus_1-7974-B-49_-5dB.wav,0.3374,0.2811,0.3837
1_202_plus_5-253094-C-49_-5dB.wav,0.5975,0.3340,0.5839
1_231_plus_1-9886-A-49_-5dB.wav,0.3479,0.3025,0.2681
1_288_plus_3-96606-B-49_-5dB.wav,0.5657,0.4214,0.4486
1_350_plus_4-102844-B-49_-5dB.wav,0.6238,0.5758,0.5967
1_409_plus_1-7974-A-49_-5dB.wav,0.5656,0.4934,0.4264
1_464_plus_3-102583-C-49_-5dB.wav,0.7325,0.6300,0.5807
1_491_plus_2-84693-A-49_-5dB.wav,0.4514,0.4465,0.4530
